Timestamp,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Roll Raw,Pitch Raw,Kalman Roll,Kalman Pitch,Complementary Roll,Complementary Pitch,Joystick X,Joystick Y,Joystick Button,Emergency Button
2024-12-12 10:32:48,0.0028,-0.0041,0.9996,0.0303,0.0322,0.294,-0.2324,-0.1623,-0.0493,0.0354,-0.0413,0.0283,13003,13003,1,1
2024-12-12 10:32:48,0.0011,-0.0026,1.0011,-0.1377,-0.1205,0.3246,-0.1482,-0.0643,-0.0412,0.0112,-0.0262,-0.0318,13010,13010,1,1
2024-12-12 10:32:48,-0.0006,0.0047,0.995,0.015,-0.1052,0.004,0.2726,0.0337,-0.045,0.0062,-0.0425,-0.0124,13010,13010,1,1
2024-12-12 10:32:48,-0.0047,0.0028,1.0057,-0.0613,-0.1663,0.2635,0.1585,0.2698,-0.0437,0.017,-0.0448,0.04,13010,13010,1,1
2024-12-12 10:32:48,-0.0013,-0.005,1.0018,-0.0155,-0.2426,-0.0876,-0.2877,0.0754,-0.0594,-0.0039,-0.0943,-0.0172,13010,13003,1,1
2024-12-12 10:32:48,0.0019,0.0001,1.0021,0.1066,-0.0747,0.004,0.0055,-0.1061,-0.0583,-0.019,-0.0804,-0.051,13010,13010,1,1
2024-12-12 10:32:48,-0.0045,-0.0014,0.9999,-0.0461,-0.0136,0.004,-0.0784,0.2574,-0.0626,-0.0142,-0.0763,-0.0158,13010,13010,1,1
2024-12-12 10:32:48,0.0102,0.0033,1.005,0.0608,0.2307,0.0498,0.1864,-0.579,-0.0656,-0.019,-0.0731,-0.0316,13003,13010,1,1
2024-12-12 10:32:48,0.0023,-0.0006,0.997,0.1371,0.0627,0.1566,-0.0366,-0.1347,-0.0444,-0.0255,-0.0147,-0.0283,13010,13010,1,1
2024-12-12 10:32:48,-0.0018,-0.0006,1.0014,0.0455,-0.3953,0.1261,-0.0364,0.1033,-0.0311,-0.029,0.0051,-0.0279,13010,13003,1,1
2024-12-12 10:32:48,-0.0023,-0.0058,0.9906,0.0303,-0.151,0.0803,-0.3333,0.1327,-0.0323,0.0005,-0.0269,0.0492,13010,13010,1,1
2024-12-12 10:32:49,0.0001,-0.0031,1.0045,0.0761,0.1085,0.3704,-0.1755,-0.0084,-0.0229,0.0059,-0.0141,0.0309,13010,13010,1,1
2024-12-12 10:32:49,-0.0042,-0.005,1.0048,-0.0766,0.0016,-0.0876,-0.2869,0.2422,-0.0317,0.0279,-0.0547,0.0891,13010,13010,1,1
2024-12-12 10:32:49,-0.0013,0.0028,1.0104,-0.0308,0.0475,0.065,0.1577,0.0747,-0.017,0.0393,0.0073,0.0836,13003,13010,1,1
2024-12-12 10:32:49,-0.0011,-0.006,1.0048,0.1219,0.0475,0.0345,-0.3426,0.0612,-0.0296,0.0357,-0.046,0.045,13010,13010,1,1
2024-12-12 10:32:49,0.0004,0.0008,0.9913,-0.0155,0.1696,-0.1487,0.0479,-0.0226,-0.0448,0.0386,-0.0785,0.0312,13003,13003,1,1
2024-12-12 10:32:49,0.0041,0.005,1.0014,0.0303,-0.0136,0.1108,0.2849,-0.2319,-0.0278,0.021,-0.0083,-0.0236,13010,13010,1,1
